feature,decision,reason,p_value,p_fdr_bh,sig_bonferroni,sig_fdr_0_05,anova_f,task_importance_score,mean_human,mean_bot,n_human,n_bot
fold_ratio_max,drop,degenerate_or_constant,0.0,0.0,True,True,,0.0,0.8888888888888891,1.0,5000,5000
n_players_std,drop,not_fdr_significant,0.0665491079795568,0.068628767603918,False,False,3.366885061157756,0.1272251249112332,0.4946638790610584,0.4893289382172099,5000,5000
end_turn_max,drop,not_fdr_significant,0.705392770048406,0.7162449665106891,False,False,0.1429306647605432,0.0115306353069219,0.9994,0.9992,5000,5000
chunk_n_hands,drop,degenerate_or_constant,1.0,1.0,False,False,1.3012630696174534e-29,1.1231190373989416e-30,89.6504,89.6504,5000,5000
n_streets_max,drop,degenerate_or_constant,,,False,False,,0.0,3.0,3.0,5000,5000
n_actions_slot_mean,drop,degenerate_or_constant,,,False,False,,0.0,12.0,12.0,5000,5000
n_actions_slot_std,drop,degenerate_or_constant,,,False,False,,0.0,0.0,0.0,5000,5000
n_actions_slot_max,drop,degenerate_or_constant,,,False,False,,0.0,12.0,12.0,5000,5000
all_in_ratio_mean,drop,degenerate_or_constant,,,False,False,,0.0,0.0,0.0,5000,5000
all_in_ratio_std,drop,degenerate_or_constant,,,False,False,,0.0,0.0,0.0,5000,5000
all_in_ratio_max,drop,degenerate_or_constant,,,False,False,,0.0,0.0,0.0,5000,5000
other_ratio_mean,drop,degenerate_or_constant,,,False,False,,0.0,0.0,0.0,5000,5000
other_ratio_std,drop,degenerate_or_constant,,,False,False,,0.0,0.0,0.0,5000,5000
other_ratio_max,drop,degenerate_or_constant,,,False,False,,0.0,0.0,0.0,5000,5000
end_preflop_max,drop,degenerate_or_constant,,,False,False,,0.0,1.0,1.0,5000,5000
end_flop_max,drop,degenerate_or_constant,,,False,False,,0.0,1.0,1.0,5000,5000
end_river_max,drop,degenerate_or_constant,,,False,False,,0.0,1.0,1.0,5000,5000
stack_std_max,keep,robust_significant,0.0,0.0,True,True,107596.69517923272,0.9999999999999136,3.0272455254817325,1.1832663633594394,5000,5000
stack_mean_mean,keep,robust_significant,0.0,0.0,True,True,95676.8397929487,0.9898661359438692,2.475708907684977,1.2896030334481867,5000,5000
stack_std_std,keep,robust_significant,0.0,0.0,True,True,92959.17444038297,0.9873790689100942,0.5814676410837768,0.1835463885590471,5000,5000
bet_ratio_mean,keep,robust_significant,0.0,0.0,True,True,65613.87915384251,0.957311397809688,0.1395869729935698,0.0995049339627746,5000,5000
stack_mean_max,keep,robust_significant,0.0,0.0,True,True,53811.03322246443,0.9401956776204772,4.180286733333333,2.3929391333333334,5000,5000
fold_ratio_std,keep,robust_significant,0.0,0.0,True,True,36022.65572548733,0.905557672262946,0.219290647098164,0.2659388119282385,5000,5000
bet_ratio_std,keep,robust_significant,0.0,0.0,True,True,21362.161192377385,0.8604600665971349,0.0644898929141952,0.0823784009150755,5000,5000
raise_ratio_std,keep,robust_significant,0.0,0.0,True,True,16765.048612259336,0.8395461323626771,0.0872905862834412,0.1098866592291793,5000,5000
fold_ratio_mean,keep,robust_significant,0.0,0.0,True,True,15723.56934728005,0.8340109472483355,0.5898997545358116,0.6526025600076034,5000,5000
stack_std_mean,keep,robust_significant,0.0,0.0,True,True,12763.07962092584,0.8160076080667639,0.943410936794875,0.6875748040872562,5000,5000
n_streets_mean,keep,robust_significant,0.0,0.0,True,True,7319.094080031805,0.7680182803158392,0.9716919294931792,0.764421462601874,5000,5000
end_river_mean,keep,robust_significant,0.0,0.0,True,True,6296.854377877338,0.7550360453711255,0.2168575310721804,0.1530518586306024,5000,5000
n_streets_std,keep,robust_significant,0.0,0.0,True,True,6144.517530934265,0.7529226572645813,1.220486120854856,1.1128831114783633,5000,5000
end_river_std,keep,robust_significant,0.0,0.0,True,True,6076.448795348881,0.751961341116252,0.4086575767770717,0.356330863915474,5000,5000
check_ratio_mean,keep,robust_significant,0.0,0.0,True,True,5692.896382618509,0.7463347796191778,0.0879626864399953,0.065481852334213,5000,5000
end_preflop_mean,keep,robust_significant,0.0,0.0,True,True,4347.722430670032,0.7230731630891092,0.5529655976407299,0.6206465060864577,5000,5000
p4_max,keep,robust_significant,0.0,0.0,True,True,3501.532466436317,0.7043960568016452,0.9626,0.5152,5000,5000
end_preflop_std,keep,robust_significant,0.0,0.0,True,True,3118.43111522876,0.6943982945334367,0.4942133626040558,0.4826068659184483,5000,5000
raise_ratio_max,keep,robust_significant,0.0,0.0,True,True,2067.2141419338864,0.6589279278496516,0.3790963636363636,0.4388902164502164,5000,5000
std_pot_after_std,keep,robust_significant,0.0,0.0,True,True,1922.394275593332,0.6526623438369313,0.1942752881520127,0.1475710085100181,5000,5000
max_norm_bb_max,keep,robust_significant,0.0,0.0,True,True,1920.4751669389216,0.652576183243282,104.9284,73.46744000000001,5000,5000
std_pot_after_max,keep,robust_significant,0.0,0.0,True,True,1852.602245586855,0.649472280086965,1.2639073424417795,0.8708189988940302,5000,5000
raise_ratio_mean,keep,robust_significant,0.0,0.0,True,True,1805.886299724526,0.6472691489197577,0.1098780992926097,0.1011680277557526,5000,5000
std_norm_bb_max,keep,robust_significant,0.0,0.0,True,True,1746.5667195366975,0.6443880624384265,36.13798569637108,25.46109755464237,5000,5000
