min_cluster_size,min_samples,n_distinct_clusters,validator_noise_count,validator_rows,validator_noise_frac,n_train_labeled,n_train_clustered,train_clustered_coverage,train_accuracy_clustered,train_balanced_accuracy_clustered,confusion_tn,confusion_fp,confusion_fn,confusion_tp,feasible
20,5,2,2915,10077,0.2892726009725117,8000,7055,0.881875,1.0,1.0,3665,0,0,3390,True
20,15,3,5411,10077,0.5369653666765902,8000,5678,0.70975,1.0,1.0,3337,0,0,2341,True
20,25,2,5313,10077,0.5272402500744269,8000,5861,0.732625,1.0,1.0,3181,0,0,2680,True
20,35,2,3658,10077,0.36300486255830106,8000,6831,0.853875,1.0,1.0,3601,0,0,3230,True
20,45,2,5305,10077,0.5264463630048626,8000,5918,0.73975,1.0,1.0,3218,0,0,2700,True
30,5,2,2915,10077,0.2892726009725117,8000,7055,0.881875,1.0,1.0,3665,0,0,3390,True
30,15,2,4667,10077,0.4631338692071053,8000,6241,0.780125,1.0,1.0,3337,0,0,2904,True
30,25,2,5313,10077,0.5272402500744269,8000,5861,0.732625,1.0,1.0,3181,0,0,2680,True
30,35,2,3658,10077,0.36300486255830106,8000,6831,0.853875,1.0,1.0,3601,0,0,3230,True
30,45,2,5305,10077,0.5264463630048626,8000,5918,0.73975,1.0,1.0,3218,0,0,2700,True
40,5,2,2915,10077,0.2892726009725117,8000,7055,0.881875,1.0,1.0,3665,0,0,3390,True
40,15,2,4667,10077,0.4631338692071053,8000,6241,0.780125,1.0,1.0,3337,0,0,2904,True
40,25,2,5313,10077,0.5272402500744269,8000,5861,0.732625,1.0,1.0,3181,0,0,2680,True
40,35,2,3658,10077,0.36300486255830106,8000,6831,0.853875,1.0,1.0,3601,0,0,3230,True
40,45,2,5305,10077,0.5264463630048626,8000,5918,0.73975,1.0,1.0,3218,0,0,2700,True
50,5,2,2915,10077,0.2892726009725117,8000,7055,0.881875,1.0,1.0,3665,0,0,3390,True
50,15,2,4667,10077,0.4631338692071053,8000,6241,0.780125,1.0,1.0,3337,0,0,2904,True
50,25,2,5313,10077,0.5272402500744269,8000,5861,0.732625,1.0,1.0,3181,0,0,2680,True
50,35,2,3658,10077,0.36300486255830106,8000,6831,0.853875,1.0,1.0,3601,0,0,3230,True
50,45,2,5305,10077,0.5264463630048626,8000,5918,0.73975,1.0,1.0,3218,0,0,2700,True
60,5,2,2915,10077,0.2892726009725117,8000,7055,0.881875,1.0,1.0,3665,0,0,3390,True
60,15,2,4667,10077,0.4631338692071053,8000,6241,0.780125,1.0,1.0,3337,0,0,2904,True
60,25,2,5313,10077,0.5272402500744269,8000,5861,0.732625,1.0,1.0,3181,0,0,2680,True
60,35,2,3658,10077,0.36300486255830106,8000,6831,0.853875,1.0,1.0,3601,0,0,3230,True
60,45,2,5305,10077,0.5264463630048626,8000,5918,0.73975,1.0,1.0,3218,0,0,2700,True
70,5,2,2915,10077,0.2892726009725117,8000,7055,0.881875,1.0,1.0,3665,0,0,3390,True
70,15,2,4667,10077,0.4631338692071053,8000,6241,0.780125,1.0,1.0,3337,0,0,2904,True
70,25,2,5313,10077,0.5272402500744269,8000,5861,0.732625,1.0,1.0,3181,0,0,2680,True
70,35,2,3658,10077,0.36300486255830106,8000,6831,0.853875,1.0,1.0,3601,0,0,3230,True
70,45,2,5305,10077,0.5264463630048626,8000,5918,0.73975,1.0,1.0,3218,0,0,2700,True
80,5,2,2915,10077,0.2892726009725117,8000,7055,0.881875,1.0,1.0,3665,0,0,3390,True
80,15,2,4667,10077,0.4631338692071053,8000,6241,0.780125,1.0,1.0,3337,0,0,2904,True
80,25,2,5313,10077,0.5272402500744269,8000,5861,0.732625,1.0,1.0,3181,0,0,2680,True
80,35,2,3658,10077,0.36300486255830106,8000,6831,0.853875,1.0,1.0,3601,0,0,3230,True
80,45,2,5305,10077,0.5264463630048626,8000,5918,0.73975,1.0,1.0,3218,0,0,2700,True
90,5,2,2915,10077,0.2892726009725117,8000,7055,0.881875,1.0,1.0,3665,0,0,3390,True
90,15,2,4667,10077,0.4631338692071053,8000,6241,0.780125,1.0,1.0,3337,0,0,2904,True
90,25,2,5313,10077,0.5272402500744269,8000,5861,0.732625,1.0,1.0,3181,0,0,2680,True
90,35,2,3658,10077,0.36300486255830106,8000,6831,0.853875,1.0,1.0,3601,0,0,3230,True
90,45,2,5305,10077,0.5264463630048626,8000,5918,0.73975,1.0,1.0,3218,0,0,2700,True
